Time	Sum	Command
220	220	---> builtin -n | string match -rv '(\.|:|source|cd|contains|count|echo|exec|printf|random|realpath|set|\\[|test|for)'
11	11	--> function __fish_reload_key_bindings -d "Reload key bindings when binding variable change" --on-variable fish_key_bindings...
26	3230	--> __fish_reload_key_bindings
20	37	---> __init_uvar fish_key_bindings fish_default_key_bindings
3	17	----> if not set --query $argv[1]...
14	14	-----> not set --query $argv[1]
4	24	---> if test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"...
20	20	----> test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"
3	395	---> if not functions -q "$fish_key_bindings"...
124	392	----> not functions -q "$fish_key_bindings"
259	268	-----> source /home/linuxbrew/.linuxbrew/Cellar/fish/3.7.1/share/fish/functions/fish_default_key_bindings.fish
9	9	------> function fish_default_key_bindings -d "emacs-like key binds"...
9	9	---> set -g __fish_active_key_bindings "$fish_key_bindings"
6	6	---> set -g fish_bind_mode default
8	2409	---> if test "$fish_key_bindings" = fish_default_key_bindings...
5	5	----> test "$fish_key_bindings" = fish_default_key_bindings
98	2396	----> fish_default_key_bindings 2>/dev/null
5	19	-----> if contains -- -h $argv...
8	8	------> contains -- -h $argv
6	6	------> contains -- --help $argv
9	111	-----> if not set -q argv[1]...
4	4	------> not set -q argv[1]
90	90	------> bind --erase --all --preset
2	8	------> if test "$fish_key_bindings" != fish_default_key_bindings...
6	6	-------> test "$fish_key_bindings" != fish_default_key_bindings
5	16	-----> if not contains -- -s $argv...
6	6	------> not contains -- -s $argv
5	5	------> set argv -s $argv
258	1829	-----> __fish_shared_key_bindings $argv
436	449	------> source /home/linuxbrew/.linuxbrew/Cellar/fish/3.7.1/share/fish/functions/__fish_shared_key_bindings.fish
5	5	-------> function __fish_shared_key_bindings -d "Bindings shared between emacs and vi mode"...
4	4	-------> function __fish_commandline_insert_escaped --description 'Insert the first arg escaped if a second arg is given'...
2	2	-------> function __fish_start_bracketed_paste...
2	2	-------> function __fish_stop_bracketed_paste...
6	19	------> if contains -- -h $argv...
7	7	-------> contains -- -h $argv
6	6	-------> contains -- --help $argv
11	11	------> bind --preset $argv \cy yank
7	7	------> bind --preset $argv \ey yank-pop
11	11	------> bind --preset $argv -k right forward-char
7	7	------> bind --preset $argv -k left backward-char
6	6	------> bind --preset $argv \e\[C forward-char
6	6	------> bind --preset $argv \e\[D backward-char
6	6	------> bind --preset $argv \eOC forward-char
6	6	------> bind --preset $argv \eOD backward-char
6	6	------> bind --preset $argv \e\[1\;5C forward-word
6	6	------> bind --preset $argv \e\[1\;5D backward-word
7	7	------> bind --preset $argv -k ppage beginning-of-history
7	7	------> bind --preset $argv -k npage end-of-history
6	6	------> bind --preset $argv \cx fish_clipboard_copy
6	6	------> bind --preset $argv \cv fish_clipboard_paste
6	6	------> bind --preset $argv \e cancel
6	6	------> bind --preset $argv \t complete
5	5	------> bind --preset $argv \cs pager-toggle-search
7	7	------> bind --preset $argv --key btab complete-and-search
8	8	------> bind --preset $argv -k sdc history-pager-delete or backward-delete-char
7	7	------> bind --preset $argv \e\n "commandline -f expand-abbr; commandline -i \n"
7	7	------> bind --preset $argv \e\r "commandline -f expand-abbr; commandline -i \n"
9	9	------> bind --preset $argv -k down down-or-search
8	8	------> bind --preset $argv -k up up-or-search
7	7	------> bind --preset $argv \e\[A up-or-search
7	7	------> bind --preset $argv \e\[B down-or-search
6	6	------> bind --preset $argv \eOA up-or-search
6	6	------> bind --preset $argv \eOB down-or-search
7	7	------> bind --preset $argv -k sright forward-bigword
7	7	------> bind --preset $argv -k sleft backward-bigword
7	7	------> bind --preset $argv \e\eOC nextd-or-forward-word
7	7	------> bind --preset $argv \e\eOD prevd-or-backward-word
6	6	------> bind --preset $argv \e\e\[C nextd-or-forward-word
6	6	------> bind --preset $argv \e\e\[D prevd-or-backward-word
6	6	------> bind --preset $argv \eO3C nextd-or-forward-word
7	7	------> bind --preset $argv \eO3D prevd-or-backward-word
7	7	------> bind --preset $argv \e\[3C nextd-or-forward-word
14	14	------> bind --preset $argv \e\[3D prevd-or-backward-word
7	7	------> bind --preset $argv \e\[1\;3C nextd-or-forward-word
7	7	------> bind --preset $argv \e\[1\;3D prevd-or-backward-word
7	7	------> bind --preset $argv \e\[1\;9C nextd-or-forward-word
7	7	------> bind --preset $argv \e\[1\;9D prevd-or-backward-word
6	6	------> bind --preset $argv \e\eOA history-token-search-backward
6	6	------> bind --preset $argv \e\eOB history-token-search-forward
7	7	------> bind --preset $argv \e\e\[A history-token-search-backward
7	7	------> bind --preset $argv \e\e\[B history-token-search-forward
9	9	------> bind --preset $argv \eO3A history-token-search-backward
7	7	------> bind --preset $argv \eO3B history-token-search-forward
7	7	------> bind --preset $argv \e\[3A history-token-search-backward
7	7	------> bind --preset $argv \e\[3B history-token-search-forward
7	7	------> bind --preset $argv \e\[1\;3A history-token-search-backward
7	7	------> bind --preset $argv \e\[1\;3B history-token-search-forward
7	7	------> bind --preset $argv \e\[1\;9A history-token-search-backward
7	7	------> bind --preset $argv \e\[1\;9B history-token-search-forward
7	7	------> bind --preset $argv \e. history-token-search-backward
7	7	------> bind --preset $argv \el __fish_list_current_token
7	7	------> bind --preset $argv \eo __fish_preview_current_file
7	7	------> bind --preset $argv \ew __fish_whatis_current_token
7	7	------> bind --preset $argv \cl clear-screen
6	6	------> bind --preset $argv \cc cancel-commandline
7	7	------> bind --preset $argv \cu backward-kill-line
7	7	------> bind --preset $argv \cw backward-kill-path-component
7	7	------> bind --preset $argv \e\[F end-of-line
10	10	------> bind --preset $argv \e\[H beginning-of-line
8	8	------> bind --preset $argv \ed 'set -l cmd (commandline); if test -z "$cmd"; echo; dirh; commandline -f repaint; else; commandline -f kill-word; end'
6	6	------> bind --preset $argv \cd delete-or-exit
7	7	------> bind --preset $argv \es 'for cmd in sudo doas please; if command -q $cmd; fish_commandline_prepend $cmd; break; end; end'
6	6	------> bind --preset $argv -k f1 __fish_man_page
6	6	------> bind --preset $argv \eh __fish_man_page
23	23	------> bind --preset $argv \ep __fish_paginate
7	7	------> bind --preset $argv \e\# __fish_toggle_comment_commandline
7	7	------> bind --preset $argv \ee edit_command_buffer
6	6	------> bind --preset $argv \ev edit_command_buffer
58	195	------> for mode in (bind --list-modes | string match -v paste)...
109	109	-------> bind --list-modes | string match -v paste
12	12	-------> bind --preset -M $mode \e\[I 'emit fish_focus_in'
8	8	-------> bind --preset -M $mode \e\[O false
8	8	-------> bind --preset -M $mode \e\[\?1004h false
47	131	------> for mode in (bind --list-modes | string match -v paste)...
73	73	-------> bind --list-modes | string match -v paste
11	11	-------> bind --preset -M $mode -m paste \e\[200~ __fish_start_bracketed_paste
8	8	------> bind --preset -M paste \e\[201~ __fish_stop_bracketed_paste
7	7	------> bind --preset -M paste "" self-insert
7	7	------> bind --preset -M paste \r "commandline -i \n"
7	7	------> bind --preset -M paste "'" "__fish_commandline_insert_escaped \' \$__fish_paste_quoted"
7	7	------> bind --preset -M paste \\ "__fish_commandline_insert_escaped \\\ \$__fish_paste_quoted"
6	6	------> bind --preset -M paste " " self-insert-notfirst
42	214	------> if not set -l index (contains --index -- -M $argv)...
43	50	-------> not set -l index (contains --index -- -M $argv)
7	7	--------> contains --index -- -M $argv
9	9	-------> bind --preset $argv "" self-insert
7	7	-------> bind --preset $argv " " self-insert expand-abbr
7	7	-------> bind --preset $argv ";" self-insert expand-abbr
6	6	-------> bind --preset $argv "|" self-insert expand-abbr
6	6	-------> bind --preset $argv "&" self-insert expand-abbr
7	7	-------> bind --preset $argv ">" self-insert expand-abbr
7	7	-------> bind --preset $argv "<" self-insert expand-abbr
7	7	-------> bind --preset $argv ")" self-insert expand-abbr
9	9	-------> bind --preset $argv -k nul 'test -n "$(commandline)" && commandline -i " "'
8	8	-------> bind --preset $argv \e\[32\;2u 'commandline -i " "; commandline -f expand-abbr'
6	6	-------> bind --preset $argv \n execute
7	7	-------> bind --preset $argv \r execute
7	7	-------> bind --preset $argv \e\[27\;5\;13~ execute
7	7	-------> bind --preset $argv \e\[13\;5u execute
7	7	-------> bind --preset $argv \e\[27\;2\;13~ execute
15	15	-------> bind --preset $argv \e\[13\;2u execute
8	8	-----> bind --preset $argv \ck kill-line
7	7	-----> bind --preset $argv \eOC forward-char
7	7	-----> bind --preset $argv \eOD backward-char
5	5	-----> bind --preset $argv \e\[C forward-char
8	8	-----> bind --preset $argv \e\[D backward-char
11	11	-----> bind --preset $argv -k right forward-char
9	9	-----> bind --preset $argv -k left backward-char
9	9	-----> bind --preset $argv -k dc delete-char
7	7	-----> bind --preset $argv -k backspace backward-delete-char
7	7	-----> bind --preset $argv \x7f backward-delete-char
8	8	-----> bind --preset $argv \e\[1~ beginning-of-line
7	7	-----> bind --preset $argv \e\[3~ delete-char
6	6	-----> bind --preset $argv \e\[4~ end-of-line
7	7	-----> bind --preset $argv -k home beginning-of-line
7	7	-----> bind --preset $argv -k end end-of-line
7	7	-----> bind --preset $argv \ca beginning-of-line
7	7	-----> bind --preset $argv \ce end-of-line
6	6	-----> bind --preset $argv \ch backward-delete-char
7	7	-----> bind --preset $argv \cp up-or-search
7	7	-----> bind --preset $argv \cn down-or-search
6	6	-----> bind --preset $argv \cf forward-char
9	9	-----> bind --preset $argv \cb backward-char
10	10	-----> bind --preset $argv \ct transpose-chars
9	9	-----> bind --preset $argv \cg cancel
9	9	-----> bind --preset $argv \c_ undo
8	8	-----> bind --preset $argv \cz undo
10	10	-----> bind --preset $argv \e/ redo
10	10	-----> bind --preset $argv \et transpose-words
10	10	-----> bind --preset $argv \eu upcase-word
8	8	-----> bind --preset $argv \ec capitalize-word
7	7	-----> bind --preset $argv \e\x7f backward-kill-word
7	7	-----> bind --preset $argv \e\b backward-kill-word
10	29	-----> if not test "$TERM_PROGRAM" = Apple_Terminal...
6	6	------> not test "$TERM_PROGRAM" = Apple_Terminal
7	7	------> bind --preset $argv \eb backward-word
6	6	------> bind --preset $argv \ef forward-word
7	7	-----> bind --preset $argv \e\< beginning-of-buffer
6	6	-----> bind --preset $argv \e\> end-of-buffer
5	5	-----> bind --preset $argv \ed kill-word
6	6	-----> bind --preset $argv \cr history-pager
8	15	-----> switch "$TERM"...
7	7	------> bind --preset $argv \e\x20ep fish_clipboard_paste
5	5	-----> set -e -g fish_cursor_selection_mode
5	324	---> if functions --query fish_user_key_bindings >/dev/null...
13	13	----> functions --query fish_user_key_bindings >/dev/null
31	306	----> fish_user_key_bindings 2>/dev/null
10	10	-----> test -f $OMF_CONFIG/theme
17	17	-----> read -l theme < $OMF_CONFIG/theme
8	8	-----> test -e $OMF_CONFIG/key_bindings.fish
156	156	-----> set -l key_bindings {$OMF_CONFIG,$OMF_PATH}/pkg/*/key_bindings.fish \
                      {$OMF_CONFIG,$OMF_PATH}/themes*/$theme/key_bindings.fish
9	9	-----> for file in $key_bindings...
75	75	-----> functions -q __original_fish_user_key_bindings
13	100	--> if not set -q FISH_UNIT_TESTS_RUNNING...
5	5	---> not set -q FISH_UNIT_TESTS_RUNNING
4	4	---> function __fish_enable_bracketed_paste --on-event fish_prompt...
3	3	---> function __fish_disable_bracketed_paste --on-event fish_preexec --on-event fish_exit...
3	3	---> status is-interactive
7	72	---> __fish_enable_bracketed_paste
65	65	----> printf "\e[?2004h"
10	29	--> if set -q TMUX...
4	4	---> set -q TMUX
5	5	---> not set -q FISH_UNIT_TESTS_RUNNING
5	5	---> function __fish_enable_focus --on-event fish_postexec...
5	5	---> function __fish_disable_focus --on-event fish_preexec...
10	50	--> if not set -q fish_handle_reflow...
5	5	---> not set -q fish_handle_reflow
10	35	---> if set -q VTE_VERSION...
5	5	----> set -q VTE_VERSION
6	6	----> string match -q -- 'alacritty*' $TERM
5	5	----> string match -q -- '*kitty' $TERM
4	4	----> set -q KONSOLE_VERSION
5	5	----> set -g fish_handle_reflow 1
6	6	--> function __fish_winch_handler --on-signal WINCH -d "Repaint screen when window changes size"...
3	78	--> if not set -q FISH_UNIT_TESTS_RUNNING...
4	4	---> not set -q FISH_UNIT_TESTS_RUNNING
18	71	---> begin...
5	5	----> string match -q -- 'foot*' $TERM
31	31	----> string match -q -- 'xterm-kitty*' $TERM
6	6	----> test 0"$VTE_VERSION" -ge 3405
4	4	----> test "$TERM_PROGRAM" = Apple_Terminal
4	4	----> test "$TERM_PROGRAM" = WezTerm
3	3	----> test "$TERM_PROGRAM" = iTerm.app
10	10	--> set __fish_initialized 3400
6	6	--> functions -e __fish_config_interactive
65	70	> source /home/yoshimi/.config/fish/functions/fish_mode_prompt.fish
5	5	-> function fish_mode_prompt -d 'bobthefish-optimized fish mode indicator'...
17	42	> fish_mode_prompt
8	8	-> [ "$theme_display_vi" != 'no' ]
15	15	-> [ "$fish_key_bindings" = 'fish_vi_key_bindings' \
        -o "$fish_key_bindings" = 'hybrid_bindings' \
        -o "$fish_key_bindings" = 'fish_hybrid_key_bindings' \
        -o "$theme_display_vi" = 'yes' ]
2	2	-> return
13	23187	> fish_prompt
10	10	-> set -l last_status $status
2	7	-> if set -q CONDA_LEFT_PROMPT...
5	5	--> set -q CONDA_LEFT_PROMPT
9	14	-> return_last_status $last_status
5	5	--> return $argv
64	23143	-> __fish_prompt_orig
6	6	--> set -l last_status $status
3	9	--> if [ "$TERM" = 'dumb' ]...
6	6	---> [ "$TERM" = 'dumb' ]
119	652	--> __bobthefish_glyphs
163	167	---> source /home/yoshimi/.config/fish/functions/__bobthefish_glyphs.fish
4	4	----> function __bobthefish_glyphs -S -d 'Define glyphs used by bobthefish'...
7	7	---> set -x branch_glyph            \uE0A0
6	6	---> set -x right_black_arrow_glyph \uE0B0
5	5	---> set -x right_arrow_glyph       \uE0B1
6	6	---> set -x left_black_arrow_glyph  \uE0B2
6	6	---> set -x left_arrow_glyph        \uE0B3
7	7	---> set -x detached_glyph          \u27A6
5	5	---> set -x tag_glyph               \u2302
5	5	---> set -x nonzero_exit_glyph      '! '
6	6	---> set -x private_glyph           \uE0A2 ' '
4	4	---> set -x superuser_glyph         '$ '
5	5	---> set -x bg_job_glyph            '% '
3	3	---> set -x hg_glyph                \u263F
7	7	---> set -x superscript_glyph       \u00B9 \u00B2 \u00B3
4	4	---> set -x virtualenv_glyph        \u25F0
4	4	---> set -x pypy_glyph              \u1D56
4	4	---> set -x ruby_glyph              ''
4	4	---> set -x go_glyph                ''
5	5	---> set -x nix_glyph               ''
4	4	---> set -x desk_glyph              \u25F2
4	4	---> set -x k8s_glyph               \u2388
5	5	---> set -x vagrant_running_glyph   \u2191
5	5	---> set -x vagrant_poweroff_glyph  \u2193
5	5	---> set -x vagrant_aborted_glyph   \u2715
5	5	---> set -x vagrant_saved_glyph     \u21E1
4	4	---> set -x vagrant_stopping_glyph  \u21E3
5	5	---> set -x vagrant_unknown_glyph   '!'
5	5	---> set -x git_dirty_glyph      '*'
5	5	---> set -x git_staged_glyph     '~'
5	5	---> set -x git_stashed_glyph    '$'
5	5	---> set -x git_untracked_glyph  '…'
4	4	---> set -x git_ahead_glyph      \u2191
6	6	---> set -x git_behind_glyph     \u2193
5	5	---> set -x git_plus_glyph       '+'
5	5	---> set -x git_minus_glyph      '-'
5	5	---> set -x git_plus_minus_glyph '±'
4	4	---> set -x fossil_glyph \U1F9B4
5	14	---> if [ "$theme_powerline_fonts" = "no" -a "$theme_nerd_fonts" != "yes" ]...
9	9	----> [ "$theme_powerline_fonts" = "no" -a "$theme_nerd_fonts" != "yes" ]
48	160	---> if [ "$theme_nerd_fonts" = "yes" ]...
6	6	----> [ "$theme_nerd_fonts" = "yes" ]
6	6	----> set private_glyph    \uF023 ' '
5	5	----> set branch_glyph     \uF418
4	4	----> set detached_glyph   \uF417
4	4	----> set tag_glyph        \uF412
7	7	----> set nix_glyph        \uF313 ' '
5	5	----> set virtualenv_glyph \uE73C ' '
4	4	----> set ruby_glyph       \uE791 ' '
5	5	----> set go_glyph         \uE626 ' '
5	5	----> set node_glyph       \uE718 ' '
5	5	----> set vagrant_running_glyph  \uF431
4	4	----> set vagrant_poweroff_glyph \uF433
4	4	----> set vagrant_aborted_glyph  \uF468
4	4	----> set vagrant_unknown_glyph  \uF421
5	5	----> set git_dirty_glyph      \uF448 ''
5	5	----> set git_staged_glyph     \uF0C7 ''
5	5	----> set git_stashed_glyph    \uF0C6 ''
5	5	----> set git_untracked_glyph  \uF128 ''
4	4	----> set fossil_glyph \UF00B9
4	4	----> set git_ahead_glyph      \uF47B
4	4	----> set git_behind_glyph     \uF47C
4	4	----> set git_plus_glyph       \uF0DE
3	3	----> set git_minus_glyph      \uF0DD
5	5	----> set git_plus_minus_glyph \uF0DC
5	13	---> if [ "$theme_avoid_ambiguous_glyphs" = "yes" ]...
8	8	----> [ "$theme_avoid_ambiguous_glyphs" = "yes" ]
56	2653	--> __bobthefish_colors $theme_color_scheme
2247	2256	---> source /home/yoshimi/.config/fish/functions/__bobthefish_colors.fish
7	7	----> function __bobthefish_colors -S -a color_scheme -d 'Define colors used by bobthefish'...
2	2	----> function __bobthefish_user_color_scheme_deprecated...
112	341	---> switch "$color_scheme"...
8	8	----> set -l red      cc9999 ce000f 660000
5	5	----> set -l green    addc10 189303 0c4801
4	4	----> set -l blue     48b4fb 005faf 255e87
4	4	----> set -l orange   f6b117 unused 3a2a03
5	5	----> set -l brown    bf5e00 803f00 4d2600
4	4	----> set -l grey     cccccc 999999 333333
4	4	----> set -l white    ffffff
5	5	----> set -l black    000000
4	4	----> set -l ruby_red af0000
3	3	----> set -l go_blue  00d7d7
8	8	----> set -x color_initial_segment_exit     $white $red[2] --bold
7	7	----> set -x color_initial_segment_private  $white $grey[3]
7	7	----> set -x color_initial_segment_su       $white $green[2] --bold
6	6	----> set -x color_initial_segment_jobs     $white $blue[3] --bold
6	6	----> set -x color_path                     $grey[3] $grey[2]
6	6	----> set -x color_path_basename            $grey[3] $white --bold
6	6	----> set -x color_path_nowrite             $red[3] $red[1]
6	6	----> set -x color_path_nowrite_basename    $red[3] $red[1] --bold
5	5	----> set -x color_repo                     $green[1] $green[3]
6	6	----> set -x color_repo_work_tree           $grey[3] $white --bold
6	6	----> set -x color_repo_dirty               $red[2] $white
7	7	----> set -x color_repo_staged              $orange[1] $orange[3]
10	10	----> set -x color_vi_mode_default          $grey[2] $grey[3] --bold
6	6	----> set -x color_vi_mode_insert           $green[2] $grey[3] --bold
6	6	----> set -x color_vi_mode_visual           $orange[1] $orange[3] --bold
6	6	----> set -x color_vagrant                  $blue[1] $white --bold
5	5	----> set -x color_k8s                      $green[2] $white --bold
8	8	----> set -x color_aws_vault                $blue[3] $orange[1] --bold
6	6	----> set -x color_aws_vault_expired        $blue[3] $red[3] --bold
6	6	----> set -x color_username                 $grey[1] $blue[3] --bold
7	7	----> set -x color_hostname                 $grey[1] $blue[3]
6	6	----> set -x color_screen                   $green[1] $white --bold
11	11	----> set -x color_rvm                      $ruby_red $grey[1] --bold
7	7	----> set -x color_node                     $green[1] $white --bold
6	6	----> set -x color_virtualfish              $blue[2] $grey[1] --bold
6	6	----> set -x color_virtualgo                $go_blue $black --bold
5	5	----> set -x color_desk                     $blue[2] $grey[1] --bold
6	6	----> set -x color_nix                      $blue[2] $grey[1] --bold
157	157	--> type -q bobthefish_colors
5	5	--> set -l __bobthefish_current_bg
48	93	--> set -l real_pwd (__bobthefish_pwd)
26	45	---> __bobthefish_pwd
19	19	----> builtin pwd -P 2>/dev/null
23	184	--> __bobthefish_prompt_status $last_status
5	5	---> set -l nonzero
4	4	---> set -l superuser
5	5	---> set -l bg_jobs
6	6	---> [ $last_status -ne 0 ]
9	9	---> [ -w / -o -w /private/ ]
19	115	---> if set -q AUTOJUMP_SOURCED...
4	4	----> set -q AUTOJUMP_SOURCED
7	92	----> if [ "$theme_display_jobs_verbose" = 'yes' ]...
6	6	-----> [ "$theme_display_jobs_verbose" = 'yes' ]
79	79	-----> jobs -p >/dev/null
3	17	---> if [ "$nonzero" -o "$fish_private_mode" -o "$superuser" -o "$bg_jobs" ]...
14	14	----> [ "$nonzero" -o "$fish_private_mode" -o "$superuser" -o "$bg_jobs" ]
27	98	--> __bobthefish_prompt_user
25	25	---> [ "$theme_display_user" = 'yes' -o \( "$theme_display_user" != 'no' -a -n "$SSH_CLIENT" \) -o \( -n "$default_user" -a "$USER" != "$default_user" \) ]
8	8	---> [ "$theme_display_sudo_user" = 'yes' -a -n "$SUDO_USER" ]
10	10	---> [ "$theme_display_hostname" = 'yes' -o \( "$theme_display_hostname" != 'no' -a -n "$SSH_CLIENT" \) ]
3	7	---> if set -q display_user...
4	4	----> set -q display_user
3	6	---> if set -q display_sudo_user...
3	3	----> set -q display_sudo_user
3	6	---> if set -q display_hostname...
3	3	----> set -q display_hostname
3	3	---> set -q display_user
3	3	---> set -q display_sudo_user
3	3	---> set -q display_hostname
9	20	--> __bobthefish_prompt_screen
8	8	---> [ "$theme_display_screen" = 'no' -o -z "$STY" ]
3	3	---> return
6	16	--> __bobthefish_prompt_vagrant
7	7	---> [ "$theme_display_vagrant" = 'yes' -a -f Vagrantfile ]
3	3	---> return
7	17	--> __bobthefish_prompt_docker
8	8	---> [ "$theme_display_docker_machine" = 'no' -o -z "$DOCKER_MACHINE_NAME" ]
2	2	---> return
9	16	--> __bobthefish_prompt_k8s_context
5	5	---> [ "$theme_display_k8s_context" = 'yes' ]
2	2	---> return
11	19	--> __bobthefish_prompt_aws_vault_profile
5	5	---> [ "$theme_display_aws_vault_profile" = 'yes' ]
3	3	---> return
8	18	--> __bobthefish_prompt_nix
7	7	---> [ "$theme_display_nix" = 'no' -o -z "$IN_NIX_SHELL" ]
3	3	---> return
9	18	--> __bobthefish_prompt_desk
7	7	---> [ "$theme_display_desk" = 'no' -o -z "$DESK_ENV" ]
2	2	---> return
16	375	--> __bobthefish_prompt_rubies
5	5	---> [ "$theme_display_ruby" = 'no' ]
5	5	---> set -l ruby_version
10	342	---> if command -q rvm-prompt...
69	69	----> command -q rvm-prompt
65	65	----> command -q rbenv
134	134	----> type -q chruby
64	64	----> command -q asdf
5	5	---> [ -z "$ruby_version" ]
2	2	---> return
16	531	--> __bobthefish_prompt_golang $real_pwd
6	6	---> [ "$theme_display_go" = 'no' ]
5	5	---> set -l gomod_version "0"
5	5	---> set -l d $real_pwd
61	485	---> while not [ -z "$d" ]
...
6	6	----> not [ -z "$d" ]
3	10	----> if [ -e $d/go.mod ]...
7	7	-----> [ -e $d/go.mod ]
5	5	----> [ "$d" = "/" ]
51	103	----> set d (__bobthefish_dirname $d)
26	52	-----> __bobthefish_dirname $d
26	26	------> string replace -r '/[^/]+/?$' '' -- $argv
6	6	----> not [ -z "$d" ]
3	10	----> if [ -e $d/go.mod ]...
7	7	-----> [ -e $d/go.mod ]
5	5	----> [ "$d" = "/" ]
41	76	----> set d (__bobthefish_dirname $d)
19	35	-----> __bobthefish_dirname $d
16	16	------> string replace -r '/[^/]+/?$' '' -- $argv
6	6	----> not [ -z "$d" ]
3	17	----> if [ -e $d/go.mod ]...
14	14	-----> [ -e $d/go.mod ]
6	6	----> [ "$d" = "/" ]
43	74	----> set d (__bobthefish_dirname $d)
20	31	-----> __bobthefish_dirname $d
11	11	------> string replace -r '/[^/]+/?$' '' -- $argv
5	5	----> not [ -z "$d" ]
3	10	----> if [ -e $d/go.mod ]...
7	7	-----> [ -e $d/go.mod ]
6	6	----> [ "$d" = "/" ]
39	73	----> set d (__bobthefish_dirname $d)
19	34	-----> __bobthefish_dirname $d
15	15	------> string replace -r '/[^/]+/?$' '' -- $argv
6	6	----> not [ -z "$d" ]
7	14	---> if [ "$gomod_version" = "0" ]...
5	5	----> [ "$gomod_version" = "0" ]
2	2	----> return
12	39	--> __bobthefish_prompt_virtualfish
13	13	---> command -q python
11	11	---> [ "$theme_display_virtualenv" = 'no' -o -z "$VIRTUAL_ENV" -a -z "$CONDA_DEFAULT_ENV" ]
3	3	---> return
8	19	--> __bobthefish_prompt_virtualgo
8	8	---> [ "$theme_display_virtualgo" = 'no' -o -z "$VIRTUALGO" ]
3	3	---> return
11	681	--> __bobthefish_prompt_node
6	6	---> set -l should_show
36	656	---> if [ "$theme_display_node" = 'always' -o "$theme_display_nvm" = 'yes' ]...
8	8	----> [ "$theme_display_node" = 'always' -o "$theme_display_nvm" = 'yes' ]
6	6	----> [ "$theme_display_node" = 'yes' ]
16	606	----> __bobthefish_prompt_find_file_up "$PWD" package.json .nvmrc .node-version
7	7	-----> set -l dir "$argv[1]"
7	7	-----> set -l files $argv[2..-1]
6	15	-----> if test -z "$dir"...
4	4	------> test -z "$dir"
5	5	------> test -z "$files"
58	558	-----> while [ "$dir" ]
...
4	4	------> [ "$dir" ]
13	44	------> for f in $files...
4	12	-------> if [ -e "$dir/$f" ]...
8	8	--------> [ -e "$dir/$f" ]
2	9	-------> if [ -e "$dir/$f" ]...
7	7	--------> [ -e "$dir/$f" ]
3	10	-------> if [ -e "$dir/$f" ]...
7	7	--------> [ -e "$dir/$f" ]
5	5	------> [ "$dir" = '/' ]
42	80	------> set dir (__bobthefish_dirname "$dir")
23	38	-------> __bobthefish_dirname "$dir"
15	15	--------> string replace -r '/[^/]+/?$' '' -- $argv
5	5	------> [ "$dir" ]
11	42	------> for f in $files...
4	12	-------> if [ -e "$dir/$f" ]...
8	8	--------> [ -e "$dir/$f" ]
3	10	-------> if [ -e "$dir/$f" ]...
7	7	--------> [ -e "$dir/$f" ]
2	9	-------> if [ -e "$dir/$f" ]...
7	7	--------> [ -e "$dir/$f" ]
6	6	------> [ "$dir" = '/' ]
40	73	------> set dir (__bobthefish_dirname "$dir")
18	33	-------> __bobthefish_dirname "$dir"
15	15	--------> string replace -r '/[^/]+/?$' '' -- $argv
5	5	------> [ "$dir" ]
11	42	------> for f in $files...
4	12	-------> if [ -e "$dir/$f" ]...
